Matrix size (n^2); MT (CUDA); MT (Thrust); MT (cuBLAS); MM (CUDA); MM (Thrust); MM (cuBLAS); SM (CUDA); SM (Thrust); SM (cuBLAS);
2;0.023552;0.061792;0.036096;0.01152;0.018848;0.292608;0.00768;0.014144;0.024096;
4;0.0256;0.070688;0.033568;0.01344;0.019328;0.278496;0.008672;0.013728;0.02432;
8;0.023328;0.062496;0.032992;0.011936;0.018752;0.288224;0.008864;0.013024;0.022208;
16;0.026624;0.065088;0.033216;0.012096;0.018976;0.281696;0.00912;0.013792;0.022144;
32;0.022688;0.059104;0.033312;0.011872;0.018112;0.280096;0.009216;0.013088;0.021728;
64;0.022528;0.059616;0.033216;0.013344;0.02208;0.277696;0.08064;0.01168;0.024384;
128;0.024576;0.06256;0.035008;0.023584;0.032832;0.388864;0.083552;0.018688;0.028352;
256;0.030336;0.0696;0.03408;0.056768;0.162784;0.378816;0.083712;0.015136;0.024;
512;0.053312;0.184384;0.036768;0.358144;0.552256;0.432704;0.100768;0.100544;0.102272;
1024;0.120448;0.467424;0.05792;2.72666;4.2;0.673536;0.124832;0.360352;0.1632;
2048;0.475776;0.910688;0.132672;24.5239;87.7206;2.84381;0.208672;0.209472;0.316448;
